t,位置: ID:3 连杆 pt0 x,速度: ID:3 连杆 pt0 x,加速度: ID:3 连杆 pt0 x,
0,100,-62.83,-15.4381,
0.1,93.7425,-62.0688,-0.370095,
0.2,87.6347,-59.8552,13.8962,
0.3,81.8152,-56.3307,26.8325,
0.4,76.4059,-51.6879,37.8838,
0.5,71.5069,-46.1678,46.5521,
0.6,67.1924,-40.048,52.5068,
0.7,63.5076,-33.6189,55.6997,
0.8,60.4698,-27.1515,56.4316,
0.9,58.0713,-20.8637,55.3223,
1,56.2863,-14.8956,53.1826,
1.1,55.0796,-9.30088,50.8441,
1.2,54.4145,-4.05389,49.026,
1.3,54.2601,0.933741,48.2785,
1.4,54.597,5.79511,48.9996,
1.5,55.4204,10.6941,51.4851,
1.6,56.7433,15.8171,55.9785,
1.7,58.5981,21.3683,62.6903,
1.8,61.0384,27.5643,71.7586,
1.9,64.1397,34.6212,83.109,
2,67.9975,42.7193,96.1447,
2.1,72.7208,51.9266,109.176,
2.2,78.414,62.0536,118.559,
2.3,85.1404,72.4214,117.861,
2.4,92.8595,81.5969,98.2226,
2.5,101.345,87.3161,52.1102,
2.6,110.121,87.0013,-18.7093,
2.7,118.488,79.0599,-97.1075,
2.8,125.699,64.1809,-157.828,
2.9,131.187,45.2012,-185.807,
3,134.714,25.4407,-184.751,
3.1,136.327,7.16439,-168.034,
3.2,136.228,-8.71507,-146.9,
3.3,134.666,-22.1298,-126.709,
3.4,131.876,-33.3163,-108.69,
3.5,128.069,-42.5251,-92.3534,
3.6,123.431,-49.9286,-76.881,
3.7,118.14,-55.6218,-61.6474,
3.8,112.362,-59.6506,-46.3302,
3.9,106.264,-62.0424,-30.8789,
4,100.007,-62.83,-15.4562,
4.1,93.7498,-62.0705,-0.387496,
4.2,87.6418,-59.8586,13.8801,
4.3,81.8219,-56.3356,26.8182,
4.4,76.412,-51.6939,37.8721,
4.5,71.5124,-46.1747,46.5434,
4.6,67.1971,-40.0554,52.5014,
4.7,63.5116,-33.6265,55.6975,
4.8,60.473,-27.159,56.432,
4.9,58.0737,-20.8709,55.3244,
5,56.2881,-14.9024,53.1854,
5.1,55.0807,-9.30726,50.8467,
5.2,54.415,-4.0599,49.0276,
5.3,54.26,0.927961,48.2786,
5.4,54.5963,5.78938,48.9978,
5.5,55.4191,10.6882,51.481,
5.6,56.7414,15.8109,55.9719,
5.7,58.5955,21.3614,62.681,
5.8,61.0352,27.5566,71.7465,
5.9,64.1356,34.6123,83.0944,
6,67.9924,42.7091,96.1288,
6.1,72.7146,51.9152,109.161,
6.2,78.4067,62.0413,118.552,
6.3,85.1318,72.4095,117.871,
6.4,92.8499,81.5876,98.2604,
6.5,101.335,87.3125,52.1809,
6.6,110.11,87.0061,-18.6165,
6.7,118.479,79.0738,-97.0207,
6.8,125.691,64.2015,-157.775,
6.9,131.182,45.2246,-185.794,
7,134.711,25.4635,-184.764,
7.1,136.326,7.18461,-168.058,
7.2,136.229,-8.69782,-146.925,
7.3,134.669,-22.1153,-126.732,
7.4,131.88,-33.3044,-108.71,
7.5,128.074,-42.5154,-92.372,
7.6,123.437,-49.9209,-76.899,
7.7,118.146,-55.616,-61.6654,
7.8,112.369,-59.6468,-46.3484,
7.9,106.272,-62.0405,-30.8972,
8,100.015,-62.83,-15.4743,
8.1,93.7572,-62.0723,-0.404899,
8.2,87.6488,-59.862,13.8639,
8.3,81.8285,-56.3404,26.8039,
8.4,76.4181,-51.7,37.8604,
8.5,71.5178,-46.1816,46.5347,
8.6,67.2018,-40.0629,52.496,
8.7,63.5156,-33.6342,55.6952,
8.8,60.4762,-27.1666,56.4323,
8.9,58.0762,-20.8782,55.3265,
9,56.2898,-14.9092,53.1882,
9.1,55.0818,-9.31364,50.8493,
9.2,54.4154,-4.06592,49.0292,
9.3,54.2599,0.922181,48.2787,
9.4,54.5956,5.78366,48.9959,
9.5,55.4179,10.6824,51.4769,
9.6,56.7395,15.8046,55.9654,
9.7,58.593,21.3545,62.6718,
9.8,61.0319,27.5488,71.7344,
9.9,64.1315,34.6034,83.0798,
10,67.9874,42.6989,96.113,
